18:00:43.538728 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 246160:249056, ack 1, win 58, options [nop,nop,TS val 28020896 ecr 28020895], length 2896
18:00:43.541419 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 249056:251952, ack 1, win 58, options [nop,nop,TS val 28020897 ecr 28020896], length 2896
18:00:43.544111 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 251952:254848, ack 1, win 58, options [nop,nop,TS val 28020897 ecr 28020897], length 2896
18:00:43.546803 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 254848:257744, ack 1, win 58, options [nop,nop,TS val 28020898 ecr 28020897], length 2896
18:00:43.549494 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 257744:260640, ack 1, win 58, options [nop,nop,TS val 28020899 ecr 28020898], length 2896
18:00:43.552186 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 260640:263536, ack 1, win 58, options [nop,nop,TS val 28020899 ecr 28020899], length 2896
18:00:43.554877 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 263536:266432, ack 1, win 58, options [nop,nop,TS val 28020900 ecr 28020899], length 2896
18:00:43.557569 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 266432:269328, ack 1, win 58, options [nop,nop,TS val 28020901 ecr 28020900], length 2896
18:00:43.560260 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 269328:272224, ack 1, win 58, options [nop,nop,TS val 28020901 ecr 28020901], length 2896
18:00:43.562952 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 272224:275120, ack 1, win 58, options [nop,nop,TS val 28020902 ecr 28020901], length 2896
18:00:43.565643 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 275120:278016, ack 1, win 58, options [nop,nop,TS val 28020903 ecr 28020902], length 2896
18:00:43.568335 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 278016:280912, ack 1, win 58, options [nop,nop,TS val 28020903 ecr 28020903], length 2896
18:00:43.571027 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 280912:283808, ack 1, win 58, options [nop,nop,TS val 28020904 ecr 28020903], length 2896
18:00:43.573718 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 283808:286704, ack 1, win 58, options [nop,nop,TS val 28020905 ecr 28020904], length 2896
18:00:43.576410 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 286704:289600, ack 1, win 58, options [nop,nop,TS val 28020905 ecr 28020905], length 2896
