0.00 1 0.0  0 0
52.30 1 155.0  10064190 0.0
52.40 1 155.0  10064190 0.0
52.50 1 155.0  10064190 0.0
52.60 1 155.0  10064190 0.0
52.70 1 155.0  10064190 0.0
52.80 1 155.0  10064190 0.0
52.90 1 155.0  10064190 0.0
53.00 1 155.0  10064190 0.0
53.10 1 155.0  10064190 0.0
53.20 1 155.0  10064190 0.0
53.30 1 155.0  10064190 0.0
53.40 1 155.0  10064190 0.0
53.50 1 155.0  10064190 0.0
53.60 1 155.0  10064190 0.0
53.70 1 155.0  10064190 0.0
53.80 1 155.0  10064190 0.0
53.90 1 155.0  10064190 0.0
54.00 1 155.0  10064190 0.0
54.10 1 155.0  10064190 0.0
54.20 1 155.0  10064190 0.0
54.30 1 155.0  10064190 0.0
54.40 1 155.0  10064190 0.0
54.50 1 155.0  10064190 0.0
54.60 1 155.0  10064190 0.0
54.70 1 155.0  10064190 0.0
54.80 1 155.0  10064190 0.0
54.90 1 155.0  10064190 0.0
55.00 1 155.0  10064190 0.0
55.10 1 155.0  10064190 0.0
55.20 1 155.0  10064190 0.0
55.30 1 155.0  10064190 0.0
55.40 1 155.0  10064190 0.0
55.50 1 155.0  10064190 0.0
55.60 1 155.0  10064190 0.0
55.70 1 155.0  10064190 0.0
55.80 1 155.0  10064190 0.0
55.90 1 155.0  10064190 0.0
56.00 1 155.0  10064190 0.0
56.10 1 155.0  10064190 0.0
56.20 1 155.0  10064190 0.0
56.30 1 155.0  10064190 0.0
56.40 1 155.0  10064190 0.0
56.50 1 155.0  10064190 0.0
56.60 1 155.0  10064190 0.0
56.70 1 155.0  10064190 0.0
56.80 1 155.0  10064190 0.0
56.90 1 155.0  10064190 0.0
57.00 1 155.0  10064190 0.0
57.10 1 155.0  10064190 0.0
57.20 1 155.0  10064190 0.0
57.30 1 155.0  10064190 0.0
57.40 1 155.0  10064190 0.0
57.50 1 155.0  10064190 0.0
57.60 1 155.0  10064190 0.0
57.70 1 155.0  10064190 0.0
57.80 1 155.0  10064190 0.0
57.90 1 155.0  10064190 0.0
58.00 1 155.0  10064190 0.0
58.10 1 155.0  10064190 0.0
58.20 1 155.0  10064190 0.0
58.30 1 155.0  10064190 0.0
58.40 1 155.0  10064190 0.0
58.50 1 155.0  10064190 0.0
58.60 1 155.0  10064190 0.0
58.70 1 155.0  10064190 0.0
58.80 1 155.0  10064190 0.0
58.90 1 155.0  10064190 0.0
59.00 1 155.0  10064190 0.0
59.10 1 155.0  10064190 0.0
59.20 1 155.0  10064190 0.0
59.30 1 155.0  10064190 0.0
59.40 1 155.0  10064190 0.0
59.50 1 155.0  10064190 0.0
59.60 1 155.0  10064190 0.0
59.70 1 155.0  10064190 0.0
59.80 1 155.0  10064190 0.0
59.90 1 155.0  10064190 0.0
60.00 1 155.0  10064190 0.0
60.10 1 155.0  10064190 0.0
60.20 1 155.0  10064190 0.0
60.30 1 155.0  10064190 0.0
60.40 1 155.0  10064190 0.0
60.50 1 155.0  10064190 0.0
60.60 1 155.0  10064190 0.0
60.70 1 155.0  10064190 0.0
60.80 1 155.0  10064190 0.0
60.90 1 155.0  10064190 0.0
61.00 1 155.0  10064190 0.0
61.10 1 155.0  10064190 0.0
61.20 1 155.0  10064190 0.0
61.30 1 155.0  10064190 0.0
61.40 1 155.0  10064190 0.0
61.50 1 155.0  10064190 0.0
61.60 1 155.0  10064190 0.0
61.70 1 155.0  10064190 0.0
61.80 1 155.0  10064190 0.0
61.90 1 155.0  10064190 0.0
62.00 1 155.0  10064190 0.0
62.10 1 155.0  10064190 0.0
62.20 1 155.0  10064190 0.0
62.30 1 155.0  10064190 0.0
